Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
AVEO,"AVEO Pharmaceuticals, Inc.",2.91,$344.32M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aveo,
AVXS,"AveXis, Inc.",110.99,$3.55B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avxs,
AVNW,"Aviat Networks, Inc.",14.91,$79.29M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/avnw,
AVID,"Avid Technology, Inc.",5.81,$239.29M,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avid,
AVGR,"Avinger, Inc.",0.1984,$6.26M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/avgr,
AVIR,"Aviragen Therapeutics, Inc.",0.57,$22.03M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avir,
CAR,"Avis Budget Group, Inc.",44.49,$3.62B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/car,
AHPA,Avista Healthcare Public Acquisition Corp.,9.8872,$383.13M,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/ahpa,
AHPAU,Avista Healthcare Public Acquisition Corp.,10.3001,n/a,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/ahpau,
AHPAW,Avista Healthcare Public Acquisition Corp.,0.35,n/a,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/ahpaw,
AWRE,"Aware, Inc.",4.45,$96.18M,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/awre,
ACLS,"Axcelis Technologies, Inc.",29.8,$936.11M,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls,
AXGN,"AxoGen, Inc.",28.45,$974.73M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/axgn,
AAXN,"Axon Enterprise, Inc.",26.68,$1.41B,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn,
AXSM,"Axsome Therapeutics, Inc.",5.2,$132.37M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axsm,
AXTI,AXT Inc,8.7,$338.35M,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/axti,
AYTU,"Aytu BioScience, Inc.",2.1,$9.25M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aytu,
AZRX,"AzurRx BioPharma, Inc.",3.15,$36.4M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/azrx,
BCOM,B Communications Ltd.,17.901,$535.24M,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/bcom,
RILY,"B. Riley Financial, Inc.",18.2,$481.71M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rily,
RILYG,"B. Riley Financial, Inc.",25.35,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rilyg,
RILYL,"B. Riley Financial, Inc.",26.086,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rilyl,
RILYZ,"B. Riley Financial, Inc.",25.89,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rilyz,
BOSC,B.O.S. Better Online Solutions,2.18,$7.06M,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bosc,
BIDU,"Baidu, Inc.",237.71,$82.54B,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu,
BCPC,Balchem Corporation,79.39,$2.54B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bcpc,
BWINA,"Baldwin & Lyons, Inc.",24.36,$366.3M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/bwina,
BWINB,"Baldwin & Lyons, Inc.",23.65,$355.62M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/bwinb,
