,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
2002,MPAA,"Motorcar Parts of America, Inc.",24.95,$475.79M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mpaa,
2003,MPVD,Mountain Province Diamonds Inc.,2.75,$440.67M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mpvd,
2004,MOXC,"Moxian, Inc.",3.8699,$259.31M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/moxc,
2005,MSBF,MSB Financial Corp.,17.85,$102.97M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/msbf,
2006,MTGE,MTGE Investment Corp.,18.825,$862.14M,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,
2007,MTGEP,MTGE Investment Corp.,26.28,$52.56M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep,
2008,MTSC,MTS Systems Corporation,54.25,$964.42M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mtsc,
2009,LABL,Multi-Color Corporation,73.9,$1.51B,1987,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/labl,
2010,MBIO,"Mustang Bio, Inc.",11.49,$301.41M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mbio,
2011,MFSF,MutualFirst Financial Inc.,38.55,$284.86M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mfsf,
2012,MVBF,MVB Financial Corp.,20,$208.89M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mvbf,
2013,MYSZ,"My Size, Inc.",0.71,$13.07M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mysz,
2014,MYL,Mylan N.V.,42,$22.53B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myl,
2015,MYND,"MYnd Analytics, Inc.",3.2595,$13.84M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/mynd,
2017,MYOK,"MyoKardia, Inc.",42.4,$1.52B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myok,
2018,MYOS,MYOS RENS Technology Inc.,1.36,$8.63M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myos,
2019,MYRG,"MYR Group, Inc.",35.74,$588.35M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/myrg,
2020,MYGN,"Myriad Genetics, Inc.",34.67,$2.4B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/mygn,
2021,NBRV,Nabriva Therapeutics plc,6.23,$228.59M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nbrv,
2022,NAKD,Naked Brand Group Inc.,1.49,$15.41M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/nakd,
2023,NNDM,Nano Dimension Ltd.,3.19,$39.55M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/nndm,
2024,NANO,Nanometrics Incorporated,24.69,$631.93M,1984,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/nano,
2025,NSTG,"NanoString Technologies, Inc.",7.76,$196.97M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nstg,
2026,NAOV,"NanoVibronix, Inc.",4.67,$17.63M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/naov,
2027,NH,"NantHealth, Inc.",3.21,$347.74M,2016,Technology,EDP Services,http://www.nasdaq.com/symbol/nh,
2028,NK,"NantKwest, Inc.",4.55,$361.52M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nk,
2029,NSSC,"NAPCO Security Technologies, Inc.",8.6,$162.1M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/nssc,
2030,NDAQ,"Nasdaq, Inc.",76.34,$12.69B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ndaq,
2031,NTRA,"Natera, Inc.",9.48,$509.73M,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ntra,
