,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,PIH,"1347 Property Insurance Holdings, Inc.",7.2499,$43.39M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
1,TURN,180 Degree Capital Corp.,2.03,$63.18M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,
2,FLWS,"1-800 FLOWERS.COM, Inc.",10.8,$697.94M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
3,FCCY,1st Constitution Bancorp (NJ),18.2,$146.93M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
4,SRCE,1st Source Corporation,49.9,$1.29B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
5,VNET,"21Vianet Group, Inc.",7.94,$886.5M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,
6,TWOU,"2U, Inc.",63.72,$3.33B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
7,JOBS,"51job, Inc.",61.8,$3.82B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
8,CAFD,8point3 Energy Partners LP,15.15,$1.2B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,
9,EGHT,8x8 Inc,14.25,$1.31B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
10,AVHI,"A V Homes, Inc.",16.75,$376.13M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
11,SHLM,"A. Schulman, Inc.",37.15,$1.1B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
12,AAON,"AAON, Inc.",36.5,$1.92B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
13,ABAX,"ABAXIS, Inc.",49.02,$1.11B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
14,ABEO,Abeona Therapeutics Inc.,16.1,$753.08M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
16,ABIL,Ability Inc.,0.4496,$11.58M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,
17,ABMD,"ABIOMED, Inc.",190.42,$8.42B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
18,ABLX,Ablynx NV,24.08,$1.8B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,
19,AXAS,Abraxas Petroleum Corporation,2.36,$391.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
20,ACIU,AC Immune SA,12.72,$724.05M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,
21,ACIA,"Acacia Communications, Inc.",37.59,$1.48B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,
22,ACTG,Acacia Research Corporation,4.2,$212.54M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
23,ACHC,"Acadia Healthcare Company, Inc.",32.45,$2.85B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
24,ACAD,ACADIA Pharmaceuticals Inc.,30.7,$3.81B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
25,ACST,"Acasti Pharma, Inc.",0.97,$14.47M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
26,AXDX,"Accelerate Diagnostics, Inc.",27.6,$1.53B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
27,XLRN,Acceleron Pharma Inc.,43.15,$1.95B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
28,ANCX,Access National Corporation,27.7,$566.54M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
29,ARAY,Accuray Incorporated,4.45,$373.44M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
30,ACRX,"AcelRx Pharmaceuticals, Inc.",2,$100.68M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
31,ACER,Acer Therapeutics Inc.,14.0805,$103.74M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer,
33,ACET,Aceto Corporation,10.29,$315.3M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,
34,AKAO,"Achaogen, Inc.",11.22,$475.66M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
35,ACHV,"Achieve Life Sciences, Inc. ",1.35,$16.13M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv,
36,ACHN,"Achillion Pharmaceuticals, Inc.",2.98,$410.82M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
37,ACIW,"ACI Worldwide, Inc.",22.39,$2.65B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
38,ACRS,"Aclaris Therapeutics, Inc.",23.89,$736.64M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
39,ACMR,"ACM Research, Inc.",4.92,$75.5M,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr,
40,ACNB,ACNB Corporation,30.1,$211.29M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
41,ACOR,"Acorda Therapeutics, Inc.",22.4,$1.05B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
42,SQZZ,Active Alts Contrarian ETF,25.31,$632800.62,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz,
43,ATVI,"Activision Blizzard, Inc",63.34,$47.89B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
44,ACTA,Actua Corporation,15.5,$507.2M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,
45,ACXM,Acxiom Corporation,27.37,$2.17B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
46,ADMS,"Adamas Pharmaceuticals, Inc.",33.98,$774.03M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
47,ADMP,Adamis Pharmaceuticals Corporation,4.25,$141.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
48,ADAP,Adaptimmune Therapeutics plc,6.8,$637.07M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,
49,ADUS,Addus HomeCare Corporation,34.4,$400.13M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,
50,AEY,"ADDvantage Technologies Group, Inc.",1.4444,$14.77M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,
51,IOTS,Adesto Technologies Corporation,6.375,$134.76M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,
52,ADMA,ADMA Biologics Inc,3.14,$142.29M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,
53,ADBE,Adobe Systems Incorporated,175.36,$86.15B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
54,ADOM,"ADOMANI, Inc.",4.36,$296.79M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom,
55,ADTN,"ADTRAN, Inc.",22.35,$1.08B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
56,ADRO,"Aduro Biotech, Inc.",7.6,$590.75M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,
57,AAAP,Advanced Accelerator Applications S.A.,81.61,$3.6B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,
58,ADES,"Advanced Emissions Solutions, Inc.",9.8,$206.68M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,
59,AEIS,"Advanced Energy Industries, Inc.",68.94,$2.73B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
60,AMD,"Advanced Micro Devices, Inc.",10.53,$10.16B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,
61,ADXS,"Advaxis, Inc.",2.82,$116.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,
63,ADVM,"Adverum Biotechnologies, Inc.",3.55,$159.9M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,
64,ACT,AdvisorShares Vice ETF,25.69,$7.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/act,
65,AEGN,Aegion Corp,25.57,$831.71M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
66,AGLE,"Aeglea BioTherapeutics, Inc.",5.51,$91.71M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,
67,AEHR,Aehr Test Systems,2.72,$58.59M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,
68,AMTX,"Aemetis, Inc",0.55,$10.9M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,
69,AERI,"Aerie Pharmaceuticals, Inc.",61.55,$2.26B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,
70,AVAV,"AeroVironment, Inc.",56.94,$1.36B,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,
71,AEZS,AEterna Zentaris Inc.,2.36,$38.8M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,
72,AEMD,"Aethlon Medical, Inc.",1.09,$16.45M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,
73,GNMX,"Aevi Genomic Medicine, Inc.",1.18,$70.01M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx,
74,AFMD,Affimed N.V.,1.25,$55.84M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,
75,AGEN,Agenus Inc.,3.39,$339.62M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,
76,AGRX,"Agile Therapeutics, Inc.",2.84,$97.09M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,
77,AGYS,"Agilysys, Inc.",12.29,$285.16M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,
78,AGIO,"Agios Pharmaceuticals, Inc.",60.47,$2.95B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,
79,AGNC,AGNC Investment Corp.,20.27,$7.93B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,
80,AGNCB,AGNC Investment Corp.,26.3116,$9.12B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,
82,AGFS,"AgroFresh Solutions, Inc.",7.33,$368.97M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs,
84,ALRN,"Aileron Therapeutics, Inc.",10.38,$152.78M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn,
85,AIMT,"Aimmune Therapeutics, Inc.",38.4,$1.95B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,
86,AIRT,"Air T, Inc.",23.1,$47.19M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,
87,ATSG,"Air Transport Services Group, Inc",23.12,$1.37B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,
88,AIRG,"Airgain, Inc.",8.53,$81.71M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg,
89,AMCN,AirMedia Group Inc,1.35,$84.8M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,
90,AKAM,"Akamai Technologies, Inc.",65.19,$11.03B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,
91,AKTX,Akari Therapeutics Plc,4.64,$70.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,
92,AKCA,"Akcea Therapeutics, Inc.",18.78,$1.25B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca,
93,AKBA,"Akebia Therapeutics, Inc.",15.15,$716.13M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,
94,AKER,Akers Biosciences Inc,0.1401,$1.39M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,
95,AKRX,"Akorn, Inc.",31.85,$3.98B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,
96,AKTS,"Akoustis Technologies, Inc.",6.08,$133.82M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts,
97,ALRM,"Alarm.com Holdings, Inc.",37.42,$1.76B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,
98,ALSK,"Alaska Communications Systems Group, Inc.",2.8,$146.85M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,
99,ALBO,"Albireo Pharma, Inc.",25.69,$228.63M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo,
100,ABDC,Alcentra Capital Corp.,8.78,$125.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,
101,ALDR,"Alder BioPharmaceuticals, Inc.",11.85,$802.96M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,
102,ALDX,"Aldeyra Therapeutics, Inc.",6.75,$129.04M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,
103,ALXN,"Alexion Pharmaceuticals, Inc.",119.8,$26.76B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,
104,ALCO,"Alico, Inc.",30.45,$251.04M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,
105,ALGN,"Align Technology, Inc.",226.45,$18.16B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,
106,ALIM,"Alimera Sciences, Inc.",1.34,$92.66M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,
107,ALJJ,"ALJ Regional Holdings, Inc.",3.19,$120.01M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj,
108,ALKS,Alkermes plc,54.57,$8.39B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,
109,ABTX,"Allegiance Bancshares, Inc.",38.45,$506.83M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,
110,ALGT,Allegiant Travel Company,157.95,$2.54B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,
111,ALNA,"Allena Pharmaceuticals, Inc.",10.67,$220.55M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/alna,
112,AHGP,"Alliance Holdings GP, L.P.",26.19,$1.57B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,
113,AMMA,"Alliance MMA, Inc.",1.229,$15.56M,2016,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma,
114,ARLP,"Alliance Resource Partners, L.P.",19.2,$2.51B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,
115,AHPI,"Allied Healthcare Products, Inc.",2.08,$8.35M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,
116,AMOT,"Allied Motion Technologies, Inc.",33.49,$316.58M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,
117,ALQA,"Alliqua BioMedical, Inc.",1.872,$9.33M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,
118,ALLT,Allot Communications Ltd.,5.35,$177.16M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,
119,MDRX,"Allscripts Healthcare Solutions, Inc.",14.6,$2.64B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,
120,AFAM,Almost Family Inc,55.3,$772.43M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,
121,ALNY,"Alnylam Pharmaceuticals, Inc.",128.56,$12.75B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,
122,AOSL,Alpha and Omega Semiconductor Limited,16.63,$397.04M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,
123,GOOG,Alphabet Inc.,1049.37,$729.1B,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,
124,GOOGL,Alphabet Inc.,1060.2,$736.63B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,
125,SMCP,AlphaMark Actively Managed Small Cap ETF,26.1145,$28.73M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp,
126,ATEC,"Alphatec Holdings, Inc.",2.68,$44.82M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,
127,ALPN,"Alpine Immune Sciences, Inc.",11.24,$156.03M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn,
128,SWIN,ALPS/Dorsey Wright Sector Momentum ETF,29.3621,$10.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin,
129,AABA,Altaba Inc.,70.06,$61.19B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba,
130,ALTR,Altair Engineering Inc.,23.61,$1.49B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/altr,
131,ALT,"Altimmune, Inc.",1.775,$27.78M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt,
132,ASPS,Altisource Portfolio Solutions S.A.,28.87,$516.91M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,
133,AIMC,Altra Industrial Motion Corp.,50.4,$1.48B,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,
134,AMAG,"AMAG Pharmaceuticals, Inc.",13.95,$493.47M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,
135,AMRN,Amarin Corporation plc,4,$1.08B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,
136,AMRK,"A-Mark Precious Metals, Inc.",14.57,$102.45M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,
137,AMZN,"Amazon.com, Inc.",1182.26,$569.7B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,
138,AMBC,"Ambac Financial Group, Inc.",14.51,$656.59M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,
140,AMBA,"Ambarella, Inc.",59.03,$1.97B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,
141,AMCX,AMC Networks Inc.,55.12,$3.41B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,
142,DOX,Amdocs Limited,65.65,$9.45B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,
143,AMDA,Amedica Corporation,3.2,$9.67M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,
144,AMED,Amedisys Inc,53.06,$1.8B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,
145,UHAL,Amerco,379.73,$7.45B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,
146,AMRH,"Ameri Holdings, Inc.",2.96,$46.93M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amrh,
148,ATAX,"America First Multifamily Investors, L.P.",6.1,$367.54M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,
149,AMOV,"America Movil, S.A.B. de C.V.",16.88,$55.75B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,
150,AAL,"American Airlines Group, Inc.",52.4,$25.07B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,
151,ACSF,"American Capital Senior Floating, Ltd.",10.5,$105M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,
152,AETI,"American Electric Technologies, Inc.",1.45,$12.57M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,
153,AMNB,"American National Bankshares, Inc.",38.55,$333.36M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,
154,ANAT,American National Insurance Company,128.05,$3.45B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,
155,AOBC,American Outdoor Brands Corporation,12.93,$699.7M,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc,
156,APEI,"American Public Education, Inc.",25.55,$415.64M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,
157,ARII,"American Railcar Industries, Inc.",41.36,$789.31M,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,
158,AMRB,American River Bankshares,15.1,$96.29M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,
159,AMSWA,"American Software, Inc.",11.93,$359.72M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,
160,AMSC,American Superconductor Corporation,3.82,$79.93M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,
161,AMWD,American Woodmark Corporation,129.9,$2.08B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,
162,CRMT,"America&#39;s Car-Mart, Inc.",45,$321.75M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,
163,ABCB,Ameris Bancorp,48.45,$1.8B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,
164,AMSF,"AMERISAFE, Inc.",61.1,$1.18B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,
165,ASRV,AmeriServ Financial Inc.,4.1,$74.92M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,
167,ATLO,Ames National Corporation,28.05,$261.17M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,
168,AMGN,Amgen Inc.,176.21,$127.91B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,
169,FOLD,"Amicus Therapeutics, Inc.",14.54,$2.42B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,
170,AMKR,"Amkor Technology, Inc.",10.13,$2.42B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,
171,AMPH,"Amphastar Pharmaceuticals, Inc.",19.75,$908.02M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,
173,ASYS,"Amtech Systems, Inc.",9.84,$144.95M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,
174,AFSI,"AmTrust Financial Services, Inc.",9.93,$1.95B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,
175,AMRS,"Amyris, Inc.",3.71,$159.65M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,
176,ADI,"Analog Devices, Inc.",89.1,$32.85B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,
177,ALOG,Analogic Corporation,85.75,$1.07B,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,
178,ANAB,"AnaptysBio, Inc.",100.8,$2.37B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab,
179,AVXL,Anavex Life Sciences Corp.,3.38,$149.47M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl,
180,ANCB,Anchor Bancorp,24.775,$61.81M,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb,
181,ANDA,Andina Acquisition Corp. II,10.2,$49.75M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/anda,
185,ANGI,ANGI Homeservices Inc.,10.81,$5.16B,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,
186,ANGO,"AngioDynamics, Inc.",16.62,$610.22M,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango,
187,ANIP,"ANI Pharmaceuticals, Inc.",63.23,$736.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip,
188,ANIK,Anika Therapeutics Inc.,53.23,$780.45M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik,
189,ANSS,"ANSYS, Inc.",146.66,$12.45B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,
190,ATRS,"Antares Pharma, Inc.",2.03,$318.05M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs,
191,ANTH,"Anthera Pharmaceuticals, Inc.",1.47,$20.36M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth,
192,APLS,"Apellis Pharmaceuticals, Inc.",19.55,$984.03M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apls,
193,APOG,"Apogee Enterprises, Inc.",44.83,$1.28B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,
194,APEN,"Apollo Endosurgery, Inc.",5.47,$94.58M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/apen,
195,AINV,Apollo Investment Corporation,5.65,$1.23B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv,
196,AMEH,"Apollo Medical Holdings, Inc.",23.72,$143.11M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ameh,
197,APPF,"AppFolio, Inc.",41.45,$1.41B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf,
198,APPN,Appian Corporation,30.32,$1.83B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn,
199,AAPL,Apple Inc.,170.6,$875.91B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,
200,ARCI,"Appliance Recycling Centers of America, Inc.",0.99,$6.81M,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci,
201,APDN,Applied DNA Sciences Inc,1.65,$45.17M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn,
203,AGTC,Applied Genetic Technologies Corporation,3.7,$66.94M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc,
204,AMAT,"Applied Materials, Inc.",51.68,$54.59B,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat,
205,AAOI,"Applied Optoelectronics, Inc.",38.66,$749.32M,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi,
206,AREX,Approach Resources Inc.,3.06,$264.74M,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex,
